Date,Time,Average,Peak
8/09/2015,8:50:48,27.634207,30.698437
8/09/2015,8:50:48,27.707127,29.791856
8/09/2015,8:50:48,27.501914,28.621747
8/09/2015,8:50:49,29.359652,29.733834
8/09/2015,8:50:49,29.920489,30.410289
8/09/2015,8:50:49,33.519494,34.427652
8/09/2015,8:50:49,32.178091,33.420514
8/09/2015,8:50:49,31.23217,32.674253
8/09/2015,8:50:49,27.275715,29.80214
8/09/2015,8:50:49,29.804818,30.783993
8/09/2015,8:50:49,31.535068,32.000817
8/09/2015,8:50:49,31.796197,31.899504
8/09/2015,8:50:50,29.641869,33.542626
8/09/2015,8:50:50,30.591131,33.15705
8/09/2015,8:50:50,31.362127,32.813534
8/09/2015,8:50:50,24.819788,31.015582
8/09/2015,8:50:50,28.741384,33.142914
8/09/2015,8:50:50,25.227248,29.453125
8/09/2015,8:50:50,25.75685,26.55535
8/09/2015,8:50:50,26.949899,28.088518
8/09/2015,8:50:50,26.986974,27.503816
8/09/2015,8:50:51,31.05713,31.624777
8/09/2015,8:50:51,28.244346,32.6814
8/09/2015,8:50:51,39.592472,39.592472
8/09/2015,8:50:51,36.167425,38.045003
8/09/2015,8:50:51,35.01558,35.199358
8/09/2015,8:50:51,28.454754,32.504974
8/09/2015,8:50:51,34.645906,39.172034
8/09/2015,8:50:51,33.713005,38.993682
8/09/2015,8:50:52,39.388153,61.136597
8/09/2015,8:50:52,45.748403,45.756863
8/09/2015,8:50:52,41.835117,45.706544
8/09/2015,8:50:52,44.846128,48.652568
8/09/2015,8:50:52,51.549351,59.825756
8/09/2015,8:50:52,54.310421,58.798889
8/09/2015,8:50:52,58.534126,58.651958
8/09/2015,8:50:52,52.242298,54.602811
8/09/2015,8:50:52,52.058367,52.554965
8/09/2015,8:50:52,49.287372,49.287372
8/09/2015,8:50:53,60.443132,60.546914
8/09/2015,8:50:53,51.572224,56.919216
8/09/2015,8:50:53,46.329503,51.390571
8/09/2015,8:50:53,55.472028,55.472028
8/09/2015,8:50:53,62.94718,62.963224
8/09/2015,8:50:53,49.391847,56.646807
8/09/2015,8:50:53,42.705586,45.333733
8/09/2015,8:50:53,41.846988,42.096574
8/09/2015,8:50:53,36.01683,50.60986
8/09/2015,8:50:54,38.723573,39.848509
8/09/2015,8:50:54,35.625153,38.022465
8/09/2015,8:50:54,48.383897,48.828586
8/09/2015,8:50:54,46.946726,56.623736
8/09/2015,8:50:54,41.437458,41.437458
8/09/2015,8:50:54,46.399714,46.79659
8/09/2015,8:50:54,47.205352,51.893647
8/09/2015,8:50:54,38.64479,42.057878
8/09/2015,8:50:55,45.615504,45.797589
8/09/2015,8:50:55,41.812367,54.654778
8/09/2015,8:50:55,37.309497,38.43991
8/09/2015,8:50:55,52.730857,59.884838
8/09/2015,8:50:55,39.59168,45.144073
8/09/2015,8:50:55,39.316158,39.335352
8/09/2015,8:50:55,52.571314,54.359189
8/09/2015,8:50:55,48.414181,48.584297
8/09/2015,8:50:55,47.581024,48.173179
8/09/2015,8:50:56,46.790859,50.760993
8/09/2015,8:50:56,50.376324,51.075844
8/09/2015,8:50:56,48.770376,49.073177
8/09/2015,8:50:56,51.215093,51.23796
8/09/2015,8:50:56,52.467365,60.137496
8/09/2015,8:50:56,48.546149,48.552241
8/09/2015,8:50:56,54.822643,62.997397
8/09/2015,8:50:56,50.687246,58.768703
8/09/2015,8:50:57,51.735665,51.735665
8/09/2015,8:50:57,49.651241,51.680188
8/09/2015,8:50:57,51.973584,54.476079
8/09/2015,8:50:57,56.741563,56.790184
8/09/2015,8:50:57,54.619609,62.203802
8/09/2015,8:50:57,54.824805,58.58577
8/09/2015,8:50:57,60.832887,62.513003
8/09/2015,8:50:57,60.12395,60.488146
8/09/2015,8:50:57,42.406269,54.205852
8/09/2015,8:50:58,51.574927,55.406611
8/09/2015,8:50:58,51.307854,52.210051
8/09/2015,8:50:58,54.651096,54.651096
8/09/2015,8:50:58,53.799115,53.974573
8/09/2015,8:50:58,48.340284,52.711501
8/09/2015,8:50:58,46.931175,50.764347
8/09/2015,8:50:58,53.758884,58.237053
8/09/2015,8:50:58,56.418889,56.504667
8/09/2015,8:50:58,47.612348,61.521082
8/09/2015,8:50:59,42.351813,44.932919
8/09/2015,8:50:59,48.507707,49.521225
8/09/2015,8:50:59,46.347379,47.348483
8/09/2015,8:50:59,45.343415,45.619671
8/09/2015,8:50:59,37.726352,47.975658
8/09/2015,8:50:59,38.607802,44.138403
8/09/2015,8:50:59,33.84535,38.744958
8/09/2015,8:50:59,42.7693,44.553119
8/09/2015,8:50:59,71.233947,72.370088
8/09/2015,8:51:00,57.355028,63.163642
8/09/2015,8:51:00,78.416463,78.416463
8/09/2015,8:51:00,68.619648,76.600799
8/09/2015,8:51:00,58.583484,73.719286
8/09/2015,8:51:00,59.148919,61.025471
8/09/2015,8:51:00,49.882547,56.579865
8/09/2015,8:51:00,62.231364,68.249681
8/09/2015,8:51:00,60.255463,62.313641
8/09/2015,8:51:00,52.650113,56.190766
8/09/2015,8:51:01,59.697436,61.090517
8/09/2015,8:51:01,54.114977,55.016324
8/09/2015,8:51:01,54.935859,56.688039
8/09/2015,8:51:01,49.5344,57.839361
8/09/2015,8:51:01,47.489222,50.516029
8/09/2015,8:51:01,49.489136,50.201397
8/09/2015,8:51:01,48.504342,48.605749
8/09/2015,8:51:01,46.58846,57.160299
8/09/2015,8:51:02,54.414763,55.063878
8/09/2015,8:51:02,61.377857,61.377857
8/09/2015,8:51:02,69.068428,72.282586
8/09/2015,8:51:02,74.142325,79.029931
8/09/2015,8:51:02,50.2023,80.559477
8/09/2015,8:51:02,60.955735,61.035954
8/09/2015,8:51:02,42.758341,57.448571
8/09/2015,8:51:02,45.931288,46.292001
8/09/2015,8:51:02,44.987491,63.865067
8/09/2015,8:51:03,54.004064,54.092017
8/09/2015,8:51:03,50.035245,54.040721
8/09/2015,8:51:03,40.470548,47.516584
8/09/2015,8:51:03,32.403109,36.836817
8/09/2015,8:51:03,26.980619,32.286032
8/09/2015,8:51:03,28.396354,28.396354
8/09/2015,8:51:03,34.544142,34.544142
8/09/2015,8:51:03,35.164098,37.601168
