Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
OS	Oleander scale	2*	OS	7	5	Control	0	0	0	2	2		0	0	0	0
OS	Oleander scale	1*	OS	7	5	0	0	0	19.4	2	2		13	93	0	106
OS	Oleander scale	2*	OS	7	5	0	0	0	19.4	2	2		0	0	0	0
OS	Oleander scale	1*	OS	7	5	0.1	0.13	0.26	0.86	2	2		6	104	0	110
OS	Oleander scale	2*	OS	7	5	0.1	0.13	0.26	0.86	2	2		0	0	0	0
OS	Oleander scale	1*	OS	7	5	0.2	0.18	0.36	1.48	2	2		0	100	0	100
OS	Oleander scale	2*	OS	7	5	0.2	0.18	0.36	1.48	2	2		0	22	1	23
OS	Oleander scale	1*	OS	7	5	0.3	0.31	0.62	3.2	2	2		0	102	0	102
OS	Oleander scale	2*	OS	7	5	0.3	0.31	0.62	3.2	2	2		0	0	0	0
OS	Oleander scale	1*	OS	7	5	0.5	0.5	1	4.95	2	2		0	107	0	107
OS	Oleander scale	2*	OS	7	5	0.5	0.5	1	4.95	2	2		0	0	0	0
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	Control	0	0	0	2	2	26	150			176
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0	0	0	19.4	2	2	7	129			136
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.5	0.5	1	4.95	2	2	29	160			189
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1	0.98	1.96	9.1	2	2	12	139			151
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1.5	1.38	2.76	12.2	2	2	29	172			201
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2	1.88	3.76	17	2	2	83	73			156
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2.5	2.2	4.4	20.6	2	2	178	6			184
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	Control	0	0	0	2	3		112	0	0	112
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0	0	0	19.2	2	3		98	0	0	98
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.5	0.52	1.04	4.4	2	3		42	51	3	96
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1	0.92	1.84	7.9	2	3		2	96	1	99
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1.5	1.05	2.1	8.6	2	3		8	88	2	98
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2	1.72	3.44	13.6	2	3		8	88	2	98
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2.5	2.3	4.6	18.6	2	3		3	101	2	106
