Species	Lifestage	Efg	Efppm	CO2	Rep	Sample	Duration	DATassess	Live	Dead	Moribund	Total
Latania scale	1st instar	0	133.76	11.94	2	1	1	7	100	2	0	102
Latania scale	2nd instar	0	133.76	11.94	2	1	1	7	103	0	0	103
Latania scale	3rd instar	0	133.76	11.94	2	1	1	7	100	0	0	100
Latania scale	Mature female	0	133.76	11.94	2	1	1	7	100	0	0	100
Latania scale	Crawler	0.1	732.85	1.1	2	1	1	7	5	0	0	5
Latania scale	1st instar	0.1	732.85	1.1	2	1	1	7	0	79	0	79
Latania scale	2nd instar	0.1	732.85	1.1	2	1	1	7	23	28	0	51
Latania scale	3rd instar	0.1	732.85	1.1	2	1	1	7	98	9	6	113
Latania scale	Mature female	0.1	732.85	1.1	2	1	1	7	9	0	0	9
Latania scale	Crawler	0.2	1983.26	2.13	2	1	1	7	28	83	0	111
Latania scale	1st instar	0.2	1983.26	2.13	2	1	1	7	0	74	28	102
Latania scale	2nd instar	0.2	1983.26	2.13	2	1	1	7	0	4	84	88
Latania scale	3rd instar	0.2	1983.26	2.13	2	1	1	7	0	11	92	103
Latania scale	Mature female	0.2	1983.26	2.13	2	1	1	7	0	9	93	102
Latania scale	Crawler	0.3	2181.2	2.89	2	1	1	7	2	67	0	69
Latania scale	1st instar	0.3	2181.2	2.89	2	1	1	7	0	100	0	100
Latania scale	2nd instar	0.3	2181.2	2.89	2	1	1	7	1	54	47	102
Latania scale	3rd instar	0.3	2181.2	2.89	2	1	1	7	2	80	19	101
Latania scale	Mature female	0.3	2181.2	2.89	2	1	1	7	0	0	0	0
Latania scale	Crawler	0.6	4238.8	5.7	2	1	1	7	0	100	0	100
Latania scale	1st instar	0.6	4238.8	5.7	2	1	1	7	0	100	0	100
Latania scale	2nd instar	0.6	4238.8	5.7	2	1	1	7	0	100	0	100
Latania scale	3rd instar	0.6	4238.8	5.7	2	1	1	7	0	100	3	103
Latania scale	Mature female	0.6	4238.8	5.7	2	1	1	7	0	0	0	0
Latania scale	Crawler	1.2	9045.21	11.84	2	1	1	7	0	100	0	100
Latania scale	1st instar	1.2	9045.21	11.84	2	1	1	7	0	100	0	100
Latania scale	2nd instar	1.2	9045.21	11.84	2	1	1	7	0	90	11	101
Latania scale	3rd instar	1.2	9045.21	11.84	2	1	1	7	0	97	7	104
Latania scale	Mature female	1.2	9045.21	11.84	2	1	1	7	0	27	0	27
Latania scale	Crawler	1.7	12512.6	14.73	2	1	1	7	0	100	0	100
Latania scale	1st instar	1.7	12512.6	14.73	2	1	1	7	0	100	0	100
Latania scale	2nd instar	1.7	12512.6	14.73	2	1	1	7	0	100	0	100
Latania scale	3rd instar	1.7	12512.6	14.73	2	1	1	7	0	100	0	100
Latania scale	Mature female	1.7	12512.6	14.73	2	1	1	7	0	9	0	9
Latania scale	Crawler	Control	0	0	3	1	1	7	56	47	0	103
Latania scale	1st instar	Control	0	0	3	1	1	7	8	95	0	103
Latania scale	2nd instar	Control	0	0	3	1	1	7	47	54	0	101
Latania scale	3rd instar	Control	0	0	3	1	1	7	48	53	0	101
Latania scale	Mature female	Control	0	0	3	1	1	7	30	65	0	95
Latania scale	Crawler	0	79.03	14.1	3	1	1	7	54	49	0	103
Latania scale	1st instar	0	79.03	14.1	3	1	1	7	87	22	0	109
Latania scale	2nd instar	0	79.03	14.1	3	1	1	7	83	22	0	105
Latania scale	3rd instar	0	79.03	14.1	3	1	1	7	105	6	0	111
Latania scale	Mature female	0	79.03	14.1	3	1	1	7	1	1	0	2
Latania scale	Crawler	0.1	764.33	1.15	3	1	1	7	33	70	0	103
Latania scale	1st instar	0.1	764.33	1.15	3	1	1	7	9	91	0	100
Latania scale	2nd instar	0.1	764.33	1.15	3	1	1	7	60	40	0	100
Latania scale	3rd instar	0.1	764.33	1.15	3	1	1	7	63	38	0	101
Latania scale	Mature female	0.1	764.33	1.15	3	1	1	7	9	7	0	16
Latania scale	Crawler	0.2	1421.98	1.68	3	1	1	7	67	90	0	157
Latania scale	1st instar	0.2	1421.98	1.68	3	1	1	7	37	71	0	108
Latania scale	2nd instar	0.2	1421.98	1.68	3	1	1	7	3	99	0	102
Latania scale	3rd instar	0.2	1421.98	1.68	3	1	1	7	54	48	2	104
Latania scale	Mature female	0.2	1421.98	1.68	3	1	1	7	3	3	1	7
Latania scale	Crawler	0.3	2377.45	2.82	3	1	1	7	33	67	0	100
Latania scale	1st instar	0.3	2377.45	2.82	3	1	1	7	10	90	0	100
Latania scale	2nd instar	0.3	2377.45	2.82	3	1	1	7	29	38	35	102
Latania scale	3rd instar	0.3	2377.45	2.82	3	1	1	7	9	46	45	100
Latania scale	Mature female	0.3	2377.45	2.82	3	1	1	7	6	28	12	46
Latania scale	Crawler	0.6	5058.65	4.43	3	1	1	7	0	100	0	100
Latania scale	1st instar	0.6	5058.65	4.43	3	1	1	7	0	100	0	100
Latania scale	2nd instar	0.6	5058.65	4.43	3	1	1	7	0	100	0	100
Latania scale	3rd instar	0.6	5058.65	4.43	3	1	1	7	0	100	0	100
Latania scale	Mature female	0.6	5058.65	4.43	3	1	1	7	0	49	0	49
Latania scale	Crawler	1.2	9713.44	10.78	3	1	1	7	0	101	0	101
Latania scale	1st instar	1.2	9713.44	10.78	3	1	1	7	0	100	0	100
Latania scale	2nd instar	1.2	9713.44	10.78	3	1	1	7	0	99	2	101
Latania scale	3rd instar	1.2	9713.44	10.78	3	1	1	7	0	95	5	100
Latania scale	Mature female	1.2	9713.44	10.78	3	1	1	7	0	36	0	36
Latania scale	Crawler	1.7	12567.43	14.92	3	1	1	7	0	102	0	102
Latania scale	1st instar	1.7	12567.43	14.92	3	1	1	7	0	100	0	100
Latania scale	2nd instar	1.7	12567.43	14.92	3	1	1	7	0	101	0	101
Latania scale	3rd instar	1.7	12567.43	14.92	3	1	1	7	0	100	0	100
Latania scale	Mature female	1.7	12567.43	14.92	3	1	1	7	0	17	4	21
Latania scale	Crawler	Control	0	0	4	1	1	7	71	29	0	100
Latania scale	1st instar	Control	0	0	4	1	1	7	76	27	0	103
Latania scale	2nd instar	Control	0	0	4	1	1	7	92	10	0	102
Latania scale	3rd instar	Control	0	0	4	1	1	7	101	1	0	102
Latania scale	Mature female	Control	0	0	4	1	1	7	22	0	0	22
Latania scale	Crawler	0	65.74	13.24	4	1	1	7	56	59	0	115
Latania scale	1st instar	0	65.74	13.24	4	1	1	7	31	73	0	104
Latania scale	2nd instar	0	65.74	13.24	4	1	1	7	83	21	0	104
Latania scale	3rd instar	0	65.74	13.24	4	1	1	7	91	9	0	100
Latania scale	Mature female	0	65.74	13.24	4	1	1	7	27	1	0	28
Latania scale	Crawler	0.1	744.22	1.05	4	1	1	7	1	16	0	17
Latania scale	1st instar	0.1	744.22	1.05	4	1	1	7	52	56	0	108
Latania scale	2nd instar	0.1	744.22	1.05	4	1	1	7	70	33	0	103
Latania scale	3rd instar	0.1	744.22	1.05	4	1	1	7	98	4	0	102
Latania scale	Mature female	0.1	744.22	1.05	4	1	1	7	1	0	0	1
Latania scale	Crawler	0.2	1700.26	1.87	4	1	1	7	2	100	0	102
Latania scale	1st instar	0.2	1700.26	1.87	4	1	1	7	0	100	0	100
Latania scale	2nd instar	0.2	1700.26	1.87	4	1	1	7	17	83	0	100
Latania scale	3rd instar	0.2	1700.26	1.87	4	1	1	7	34	56	12	102
Latania scale	Mature female	0.2	1700.26	1.87	4	1	1	7	6	96	4	106
Latania scale	Crawler	0.3	2258.48	2.78	4	1	1	7	0	100	0	100
Latania scale	1st instar	0.3	2258.48	2.78	4	1	1	7	0	101	0	101
Latania scale	2nd instar	0.3	2258.48	2.78	4	1	1	7	0	102	1	103
Latania scale	3rd instar	0.3	2258.48	2.78	4	1	1	7	0	103	0	103
Latania scale	Mature female	0.3	2258.48	2.78	4	1	1	7	0	0	2	2
Latania scale	Crawler	0.6	4681.6	5.84	4	1	1	7	0	103	0	103
Latania scale	1st instar	0.6	4681.6	5.84	4	1	1	7	0	100	0	100
Latania scale	2nd instar	0.6	4681.6	5.84	4	1	1	7	2	66	34	102
Latania scale	3rd instar	0.6	4681.6	5.84	4	1	1	7	12	11	44	67
Latania scale	Mature female	0.6	4681.6	5.84	4	1	1	7	0	0	0	0
Latania scale	Crawler	1.2	8942.68	10.95	4	1	1	7	0	100	0	100
Latania scale	1st instar	1.2	8942.68	10.95	4	1	1	7	0	100	0	100
Latania scale	2nd instar	1.2	8942.68	10.95	4	1	1	7	0	100	0	100
Latania scale	3rd instar	1.2	8942.68	10.95	4	1	1	7	0	64	0	64
Latania scale	Mature female	1.2	8942.68	10.95	4	1	1	7	0	2	0	2
Latania scale	Crawler	1.7	11191.01	14.4	4	1	1	7	0	114	0	114
Latania scale	1st instar	1.7	11191.01	14.4	4	1	1	7	0	101	0	101
Latania scale	2nd instar	1.7	11191.01	14.4	4	1	1	7	0	101	4	105
Latania scale	3rd instar	1.7	11191.01	14.4	4	1	1	7	0	96	3	99
Latania scale	Mature female	1.7	11191.01	14.4	4	1	1	7	0	0	0	0
