Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
WFT 	Western Flower thrip	Adult	WFT		1	15	Control	0	0	4	3	0	14	8	0	22
WFT 	Western Flower thrip	Larvae	WFT		1	15	0	0	13	4	1	0	84	16	0	100
WFT 	Western Flower thrip	Adult	WFT		1	15	0	0	13	4	1	0	6	3	0	9
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.25	0.25	2.45	4	1	0	6	96	0	102
WFT 	Western Flower thrip	Adult	WFT		1	15	0.25	0.25	2.45	4	1	0	0	9	0	9
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.5	0.32	3.3	4	1	0	17	46	0	63
WFT 	Western Flower thrip	Adult	WFT		1	15	0.5	0.32	3.3	4	1	0	0	4	0	4
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.75	0.61	5.9	4	1	0	2	34	0	36
WFT 	Western Flower thrip	Adult	WFT		1	15	0.75	0.61	5.9	4	1	0	0	24	0	24
WFT 	Western Flower thrip	Larvae	WFT		1	15	1	0.81	7.8	4	1	0	4	37	0	41
WFT 	Western Flower thrip	Adult	WFT		1	15	1	0.81	7.8	4	1	0	0	14	0	14
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.25	1.18	11	4	1	0	0	19	0	19
WFT 	Western Flower thrip	Adult	WFT		1	15	1.25	1.18	11	4	1	0	0	8	0	8
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.5	1.46	13.2	4	1	0	1	70	0	71
WFT 	Western Flower thrip	Adult	WFT		1	15	1.5	1.46	13.2	4	1	0	0	12	0	12
WFT 	Western Flower thrip	Larvae	WFT		1	15	0	0	10.6	4	2	0	90	23	0	113
WFT 	Western Flower thrip	Adult	WFT		1	15	0	0	10.6	4	2	0	7	3	0	10
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.25	0.22	2.2	4	2	0	4	46	0	50
WFT 	Western Flower thrip	Adult	WFT		1	15	0.25	0.22	2.2	4	2	0	0	8	0	8
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.5	0.38	4.05	4	2	0	8	28	0	36
WFT 	Western Flower thrip	Adult	WFT		1	15	0.5	0.38	4.05	4	2	0	0	6	0	6
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.75	0.64	6.6	4	2	0	13	63	0	76
WFT 	Western Flower thrip	Adult	WFT		1	15	0.75	0.64	6.6	4	2	0	0	13	0	13
WFT 	Western Flower thrip	Larvae	WFT		1	15	1	0.95	9.1	4	2	0	7	52	0	59
WFT 	Western Flower thrip	Adult	WFT		1	15	1	0.95	9.1	4	2	0	0	15	0	15
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.25	1.24	11.4	4	2	0	3	35	0	38
WFT 	Western Flower thrip	Adult	WFT		1	15	1.25	1.24	11.4	4	2	0	0	13	0	13
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.5	1.48	13.8	4	2	0	3	24	0	27
WFT 	Western Flower thrip	Adult	WFT		1	15	1.5	1.48	13.8	4	2	0	0	9	0	9
