Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
WFT	Western Flower thrip	Larvae	WFT		1	5	2.5	2.03	18.2	2	1		2	35	0	37
WFT	Western Flower thrip	Adult	WFT		1	5	2.5	2.03	18.2	2	1		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	5	0.25	0.22	2.2	2	1		1	49	0	50
WFT	Western Flower thrip	Adult	WFT		1	5	0.25	0.22	2.2	2	1		0	14	0	14
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.44	4.3	2	1		0	40	0	40
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.44	4.3	2	1		0	3	0	3
WFT	Western Flower thrip	Larvae	WFT		1	5	0.25	0.19	2.6	2	2		1	41	0	42
WFT	Western Flower thrip	Adult	WFT		1	5	0.25	0.19	2.6	2	2		0	5	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.56	2.6	2	2		1	28	0	29
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.56	2.6	2	2		0	5	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.93		2	2		0	42	0	42
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.93		2	2		0	9	0	9
WFT	Western Flower thrip	Larvae	WFT		1	5	1.5	1.11		2	2		1	29	0	30
WFT	Western Flower thrip	Adult	WFT		1	5	1.5	1.11		2	2		0	20	0	20
WFT	Western Flower thrip	Larvae	WFT		1	5	2	1.54		2	2		1	18	0	19
WFT	Western Flower thrip	Adult	WFT		1	5	2	1.54		2	2		0	13	0	13
WFT	Western Flower thrip	Larvae	WFT		1	5	2.5	1.89		2	2		2	36	0	38
WFT	Western Flower thrip	Adult	WFT		1	5	2.5	1.89		2	2		0	27	0	27
WFT	Western Flower thrip	Larvae	WFT		1	5	0.25	0.22	1.2	2	3		1	59	0	60
WFT	Western Flower thrip	Adult	WFT		1	5	0.25	0.22	1.2	2	3		0	29	0	29
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.42	4.3	2	3		3	14	0	17
