Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.25	0.16	2.8	4	1	6	129	6	0	141
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.5	0.43	4.9	4	1	112	0	29	0	141
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.5	0.43	4.9	4	1	0	36	1	0	37
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.75	0.64	6.7	4	1	174	0	20	0	194
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.75	0.64	6.7	4	1	0	18	0	0	18
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	1	0.92	8.9	4	1	193	0	24	0	217
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	1.25	1.18	11.2	4	1	152	0	17	0	169
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	1.5	1.46	13.6	4	1	138	0	19	0	157
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	Control	0	0	4	2	0	112	7	0	119
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	Control	0	0	4	2	0	51	0	0	51
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0	0	8	4	2	3	222	4	0	229
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0	0	8	4	2	19	141	3	0	163
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.25	0.21	2.85	4	2	101	1	26	0	128
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.25	0.21	2.85	4	2	0	204	9	0	213
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.5	0.36	4.4	4	2	101	0	33	0	134
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.5	0.36	4.4	4	2	0	93	0	0	93
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.75	0.59	6.5	4	2	183	0	9	0	192
TSM	Two spotted mite	Egg	TSMEgg	Egg	7	5	0.75	0.59	6.5	4	2	0	5	1	0	6
